04-26 13:04:41.309  9219  9237 I RLT     : +923ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=22 fd_count=116 | thread=binder:9219_2
04-26 13:04:41.309  9219  9237 I RLT     : +924ms [STATE] S26 attachSurface: 1366x768 attach=23 fd_count=116 remote_pid=9186 | thread=binder:9219_2
04-26 13:04:41.338  9186  9186 I RLT     : +1296ms [LIFECYCLE] S26 surfaceChanged: 1600x900 format=1 | thread=main
04-26 13:04:41.342  9219  9267 I RLT     : +957ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=23 fd_count=116 | thread=binder:9219_4
04-26 13:04:41.343  9219  9267 I RLT     : +958ms [STATE] S26 attachSurface: 1600x900 attach=24 fd_count=116 remote_pid=9186 | thread=binder:9219_4
04-26 13:04:41.363  9186  9186 I RLT     : +1321ms [LIFECYCLE] S26 surfaceChanged: 640x480 format=1 | thread=main
04-26 13:04:41.366  9219  9237 I RLT     : +981ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=24 fd_count=116 | thread=binder:9219_2
04-26 13:04:41.367  9219  9237 I RLT     : +981ms [STATE] S26 attachSurface: 640x480 attach=25 fd_count=116 remote_pid=9186 | thread=binder:9219_2
04-26 13:04:41.396  9186  9186 I RLT     : +1354ms [LIFECYCLE] S26 surfaceChanged: 800x600 format=1 | thread=main
04-26 13:04:41.399  9219  9267 I RLT     : +1013ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=25 fd_count=116 | thread=binder:9219_4
04-26 13:04:41.399  9219  9267 I RLT     : +1014ms [STATE] S26 attachSurface: 800x600 attach=26 fd_count=116 remote_pid=9186 | thread=binder:9219_4
04-26 13:04:41.431  9186  9186 I RLT     : +1389ms [LIFECYCLE] S26 surfaceChanged: 960x540 format=1 | thread=main
04-26 13:04:41.436  9219  9237 I RLT     : +1051ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=26 fd_count=116 | thread=binder:9219_2
04-26 13:04:41.437  9219  9237 I RLT     : +1052ms [STATE] S26 attachSurface: 960x540 attach=27 fd_count=116 remote_pid=9186 | thread=binder:9219_2
04-26 13:04:41.463  9186  9186 I RLT     : +1421ms [LIFECYCLE] S26 surfaceChanged: 1024x768 format=1 | thread=main
04-26 13:04:41.466  9219  9267 I RLT     : +1081ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=27 fd_count=116 | thread=binder:9219_4
04-26 13:04:41.467  9219  9267 I RLT     : +1081ms [STATE] S26 attachSurface: 1024x768 attach=28 fd_count=116 remote_pid=9186 | thread=binder:9219_4
04-26 13:04:41.488  9186  9186 I RLT     : +1446ms [LIFECYCLE] S26 surfaceChanged: 1280x720 format=1 | thread=main
04-26 13:04:41.491  9219  9237 I RLT     : +1106ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=28 fd_count=116 | thread=binder:9219_2
04-26 13:04:41.493  9219  9237 I RLT     : +1108ms [STATE] S26 attachSurface: 1280x720 attach=29 fd_count=116 remote_pid=9186 | thread=binder:9219_2
04-26 13:04:41.521  9186  9186 I RLT     : +1479ms [LIFECYCLE] S26 surfaceChanged: 720x1280 format=1 | thread=main
04-26 13:04:41.524  9219  9267 I RLT     : +1138ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=29 fd_count=116 | thread=binder:9219_4
